Event,GoldRush_ReceivedAt,GoldRush_DataTS,Mobula_ReceivedAt,Mobula_TradeTS,Mobula_Hash,Codex_ReceivedAt,Codex_DataTS
78,,,21:15:32.845,21:15:31.000,0x1779327586fce7920f0b8059cf0a69b5edfe1c8ae67d62d3b31a5d9e0056f204,,
79,,,21:15:34.651,21:15:33.000,0x5e0ea1f9172a6fb38f3a2aa42fafefb6170a5e758d5460b2991fd53164cc4444,,
80,,,21:15:43.484,21:15:41.000,0x05bc4e958c65f5ba6cc3d1eb86d228dffeefa2af888693a3759f4961f277847d,,
81,,,21:15:43.690,21:15:41.000,0x0c786c5c5e6a6fd85ee54f29dd425af36d2e49af0d8f17d2bff869d43fb546be,,
82,,,21:15:44.449,21:15:43.000,0x4fb8c05fcf35303c4014a11c2d011f54176e2518de1092825133de055ed4a428,,
83,,,21:15:46.755,21:15:45.000,0x2dedd77d99a4b5bf7afb4a61ae8c41a9961b9014631143aa3a3ac5528a11660b,,
84,,,21:15:46.914,21:15:45.000,0x8b5d2dc90a1adf4e5c3ecac5d7b1a1051ab7d280b268e6d13988a3250727c092,,
85,,,21:15:49.113,21:15:47.000,0xb87a76a4b86a6224f435b00ed2d8a0b8fdf117ca21ee8adb3daaba3c5d264005,,
86,,,21:15:50.337,21:15:49.000,0xa86ebfd7cd7fa2601bb0ac056bdef55a0c42c105926af8c261115a5f1cf64f4b,,
87,,,21:15:50.547,21:15:49.000,0x676a92ae77f25896eed339e6b934c1ac7d2705d11a68f4417aae3a6c34e1db79,,
88,,,21:16:07.451,21:16:05.000,0x22c73034ec535385ec4060a030a27b69074001616a87b462bfd60157985f7cec,,
89,,,21:16:15.205,21:16:13.000,0x6c7019a688448262302f3e43948c9713f9377481f9ed3d945e03d2adf25ea1d6,,
90,,,21:16:23.487,21:16:21.000,0xe3f7e8bfe8988390279a3f96e2d8ac8ed2b51aaefcb3ffa1d8ddb347347f1013,,
91,,,21:16:24.583,21:16:23.000,0xaa18bc105f29b9c766db712065c7e20b99b740b4e0ebd9ff3681cb03e13a5b9d,,
92,,,21:16:38.716,21:16:35.000,0x52c88797e6cf1252a1a1151bf2d46a5003856eb985f4e97515547e528d7477be,,
93,,,21:16:39.999,21:16:37.000,0x0122aa806152c1b3fff71bea6f535b1e83ec1a47a8ea770a420bfec0e50477c1,,
94,,,21:17:06.227,21:17:03.000,0xa4aaf668699da8cf06cc5cc703f013e597c4d17beebfcfabb543bcf9e1673b30,,
95,,,21:17:06.439,21:17:03.000,0xf980d101590ecfc4a332a525c94bbc65e4b7c79ccc7943b8b53fc994a39aca8c,,
96,,,21:17:26.811,21:17:25.000,0x16933759600adf1ba5fcecc964e9f1ab002c7a36bd626d4693eeab6afb11be97,,
97,,,21:17:31.357,21:17:29.000,0xa1d28651f034054063d97918e22b2b90885ed556bf613c4120a5b3afefe7db6f,,
98,,,21:17:31.565,21:17:29.000,0x7bd7b856191eb3dee5660d9684ecba73ab3937d284ac17bfb9be138499b65ace,,
99,,,21:17:32.137,21:17:31.000,0xfdc38e4701f1b95bf3aef9edead2361c9b8cd3e05cb5c3a370f5ffe535b7e7ff,,
100,,,21:17:32.347,21:17:31.000,0xd04e0b150bbc5527f6111983a376eb9fb6dfd406fa89f855a8796cb3d48d0228,,
